Key,en,es,ar
Crypto Assets,Crypto Assets,Activos criptográficos,أصول التشفير
Wallet Information Not Found!,Wallet Information Not Found!,¡No se encontró información de la billetera!,لم يتم العثور على معلومات المحفظة!
api,api,API,واجهة برمجة التطبيقات
Verification code resend successfully!,Verification code resend successfully!,¡El código de verificación se reenvía exitosamente!,تم إعادة إرسال رمز التحقق بنجاح!
Can\'t exchange money with same currency,Can\'t exchange money with same currency,No se puede cambiar dinero con la misma moneda,لا يمكن استبدال الأموال بنفس العملة
user.authorize.google.2fa,user.authorize.google.2fa,usuario.autorizar.google.2fa,user.authorize.google.2fa
User doesn,User doesn,El usuario no,المستخدم لا
Recipient doesn,Recipient doesn,El destinatario no,المتلقي لا
Something went worng! Please try again.,Something went worng! Please try again.,¡Algo salió mal! Inténtalo de nuevo.,لقد ذهب شيء ما! حاول مرة اخرى.
user.add.money.index,user.add.money.index,usuario.agregar.dinero.index,user.add.money.index
Withdraw Money,Withdraw Money,Retirar dinero,سحب الأموال
Please verify your KYC information before any withdrawal action,Please verify your KYC information before any withdrawal action,Verifique su información KYC antes de cualquier acción de retiro,يرجى التحقق من معلومات KYC الخاصة بك قبل أي إجراء سحب
Installation,Installation,Instalación,تثبيت
inner-title,inner-title,título interno,العنوان الداخلي
Project Installation Process is,Project Installation Process is,El proceso de instalación del proyecto es,عملية تثبيت المشروع هي
canceled,canceled,cancelado,ألغيت
Failed!,Failed!,¡Fallido!,فشل!
Project Installation Server,Project Installation Server,Servidor de instalación de proyectos,خادم تثبيت المشروع
Requirements,Requirements,Requisitos,متطلبات
Back,Back,Atrás,خلف
Next,Next,Próximo,التالي
Welcome,Welcome,Bienvenido,مرحباً
To Project Installation Process,To Project Installation Process,Al proceso de instalación del proyecto,لمشروع عملية التثبيت
mt-10 text--white fw-normal,mt-10 text--white fw-normal,mt-10 texto--blanco fw-normal,نص MT-10-أبيض مهاجم-عادي
"To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","Para continuar con el proceso de instalación haga clic en el botón de inicio. Si elige no instalar esta aplicación, haga clic en el botón cancelar. Gracias",لمتابعة عملية التثبيت انقر على زر البداية. إذا اخترت عدم تثبيت هذا التطبيق، فانقر على زر الإلغاء. شكرًا
Cancel,Cancel,Cancelar,يلغي
Start,Start,Comenzar,يبدأ
Admin | Login,Admin | Login,Administrador | Acceso,المشرف | تسجيل الدخول
Password ,Password ,Contraseña,كلمة المرور
Reset,Reset,Reiniciar,إعادة ضبط
Enter your account email address or username,Enter your account email address or username,Ingrese la dirección de correo electrónico o el nombre de usuario de su cuenta,أدخل عنوان البريد الإلكتروني لحسابك أو اسم المستخدم
Username OR Email Address,Username OR Email Address,Nombre de usuario o dirección de correo electrónico,اسم المستخدم أو البريد الالكتروني
Send,Send,Enviar,يرسل
Reset ,Reset ,Reiniciar,إعادة ضبط
Forgot Password?,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟
alert alert-primary justify-content-center,alert alert-primary justify-content-center,alerta alerta-principal justificar-centro-de-contenido,تنبيه التنبيه الأساسي مبرر مركز المحتوى
Sender,Sender,Remitente,مرسل
badge badge--danger,badge badge--danger,insignia insignia--peligro,شارة شارة-خطر
modal-title,modal-title,título-modal,عنوان مشروط
Add Language,Add Language,Agregar idioma,إضافة لغة
button,button,botón,زر
Add,Add,Agregar,يضيف
Edit Language,Edit Language,Editar idioma,تحرير اللغة
Add New Item,Add New Item,Agregar ítem nuevo,أضف أداة جديدة
Add Item,Add Item,Añadir artículo,اضافة عنصر
Add Brand,Add Brand,Agregar marca,أضف علامة تجارية
Add Feedback,Add Feedback,Agregar comentarios,إضافة تعليقات
Add Service,Add Service,Agregar servicio,أضف الخدمة
Add Solution,Add Solution,Agregar solución,أضف الحل
Add Admin,Add Admin,Agregar administrador,إضافة المشرف
countryFlag,countryFlag,Bandera del país,علم الدولة
Admin Profile Image,Admin Profile Image,Imagen de perfil de administrador,صورة الملف الشخصي للمشرف
Add Currency,Add Currency,Agregar moneda,أضف العملة
Country Flag,Country Flag,Bandera del país,علم الدولة
Add New Screen,Add New Screen,Agregar nueva pantalla,إضافة شاشة جديدة
Add Sending Purpose,Add Sending Purpose,Agregar propósito de envío,إضافة غرض الإرسال
Add Source Of Found,Add Source Of Found,Agregar fuente de encontrado,أضف مصدر العثور عليه
Add New Permission,Add New Permission,Agregar nuevo permiso,إضافة إذن جديد
selectRole,selectRole,seleccionarRol,حدد الدور
Assign Permission Page/Task,Assign Permission Page/Task,Asignar página/tarea de permiso,تعيين صفحة/مهمة إذن
Edit Permission,Edit Permission,Editar permiso,تحرير إذن
Add New Role,Add New Role,Agregar nuevo rol,إضافة دور جديد
Edit Role,Edit Role,Editar rol,تحرير الدور
Edit Admin,Edit Admin,Editar administrador,تحرير المشرف
Edit Currency,Edit Currency,Editar moneda,تحرير العملة
Edit Screen,Edit Screen,Editar pantalla,تحرير الشاشة
Edit Sending Purpose,Edit Sending Purpose,Editar propósito de envío,تحرير غرض الإرسال
Edit Source Of Found,Edit Source Of Found,Editar fuente de encontrado,تحرير مصدر العثور عليه
Update Extension,Update Extension,Actualizar extensión,تحديث الامتداد
extension-name,extension-name,nombre-extensión,اسم الامتداد
Reject KYC ,Reject KYC ,Rechazar KYC,"رفض ""اعرف عميلك""."
Send Email,Send Email,Enviar correo electrónico,ارسل بريد الكتروني
Close,Close,Cerca,يغلق
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار
